aba,mat
ná,to give
ná,for
nákè,firewood
náné,something
nánéké,nothing
né,when
né,if
nenémáké,in like manner
nenémáké,in the same way
nenié,how many
nenié,how much
núnáná,gift
nuŋlɔti,pen
nuŋlɔti,pencil
nuŋɔŋlɔ,writing
nusese,hearing
nusɔsrɔ,learning
nusɔsrɔ,study
nusrɔƒe,school
nusrɔla,pupil
nusrɔla,disciple
nutaƒe,studio of an artist
nutala,painter
nutata,painting
nutata,drawing
nutome,district
nutome,region
nutome,area
nutsotso,report
nutsotso,complaint
núwuwu,end
núxlɔame,advice
nuxlɔamenya,work of advice
nuxɔxlo,advice
nya,word
nya,matter
nya nú,to wash something
nya nú,to know something
nya nú,to be wise
nyateƒe,truth
nyateƒe,fact
nyateƒetɔe,truly
nyateƒetɔe,honestly
nyateƒetɔe,truthfully
nyi,cow
nyikpɔ,cattle ranch
nyinotsi,cow-milk
nyó dɔme,to be kind
nyó dɔme,to be generous
nyó ta,splendid
nyó ta,excellent
nyó ta,very good
nyó,beautiful
nyó,to be good
nyó,nice
nyɔnu,woman
nyɔnuví,girl
nyɔnuwu,dress
nyɔnuwu,woman's clothes
nyré,to sharpen
nyroe,maternal uncle
nyúí,beautiful
nyúí,good
nyúí,nice
nyúíé,nicely
nyúíé,rightly
nyúíé,well
no nú,to drink
nogo,round
nótsi,milk
nɔ,mother
nɔ,stayed
nɔ,lived
nɔnu tèƒé,to be present at
nɔnu tèƒé,to witness
nɔ agbe didi,to live long
nɔ anyĩ,existed
nɔ anyĩ,was
nɔ anyĩ,lived
nɔɖi,maternal aunt
nɔnɔme,shape
nɔnɔme,form
nɔnɔme,condition
nɔví,relative
nɔvínye,my relative
nɔvíwo,your relative
nù,mouth
nù,edge
nù,entrance
nú,thing
nú,matter
nú ɖeká,one thing
nublanui,pity
nublanui,sadness
nuɖala,cook
nudodo,clothing
nuɖuɖu,food
nuɖuɖu,eating
nuɖuƒe,restaurant
nuɖuƒe,dining hall
nuƒeƒle,buying
nufiafia,teaching
nufiala,teacher
nuƒlelá,customer
nuƒòƒò,speaking
nuƒòƒò,talking
núgbagbe,living things
núkà,what
núkàtà,why
nukpaƒe,carver's workshop
nukpalá,carver
nukpɔkpɔ,seeing
nukpɔkpɔ,sight
nuku,crop
nuku,seed
Pèkí,Ewe town in Ghana
pétéé,completely
pétéé,entirely
pétéé,altogether
príkú,mongoose
sàbálá,onion
sámà,summons
sámá,to summons
sẽ,to be strong
sẽ,to be hard
sẽ,to recover
se nú,to hear
se vevé,to feel pain
sẽẽ,a little while
sẽsẽ,strong
sẽsẽ,hard
sí,to run away
sià,this
síá,all
síá,whitout exception
siàwo,these
siká,gold
sikágbá,golden plate
sukli,sugar
sisí,escape
sisíƒé,place where one can escape
sisílá,a runaway
sowuiɛ,unbrella
sɔ,horse
sɔ pɛ,same as
sɔ pɛ,just as
sɔe,to be little
sɔe,small
sɔe,few
sɔgbɔ,many
sɔgbɔ,enough
srã kpɔ,to pay a visit
srɔ,spouse
srɔ,wife
srɔ,husband
srɔ nú,to learn
srɔ nyɔnu,wife
srɔ ŋutsu,husband
subɔ,to serve
subɔ,to worship
subɔlá,worshiper
suku,school
,
sukudede,schooling
sukudede,attendance at school
sukudeɣi,schooldays
sukudèlá,pupil
sukudèlá,student
sukuhátí,schoolmate
sukuví,pupil
sukuví,student
susú,thought
súsú,to think
tà,head
tà,top
tà,above
tà,over
tá,lake
tá,pond
tá,lagoon
tà le ame ɖum,to have a headache
tá nú,to draw something
taflo,board
takpexɔ,meeting hall
takuvi,handkerchief
tamebubu,thinking
tamebubu,thought
tasi,paternal aunt
te,yam
té,under
té,below
té,underneath
tédzí,donkey
tédzí,ass
teƒé,place
tegbee,always
tegbee,forever
tegblẽ,round
tegblẽẽ,round
tete,then
tete,and then
titina,middle
titina,center
titinasuku,middle school
titri,thick
to,buffalo
to,edge
to,bank
tó,mountain
tó,ear
tó,to pound
tó,to go over
tó ame dzí,through someone
tó ame dzí,per someone
tógbɔ bé,though
tógbɔ bé...hã,even though
tógbɛ,hill
Tógó ƒé dugã,capital of Togo
tɔ,river
tɔ,sea
tɔ,lake
tɔ,father
tɔ,to stop
tɔ,to stand till
tɔɖi,paternal uncle
tɔdzíʋú,ship
tɔdzíʋú,boat
tɔƒo,surface of water
tɔgbí,grandfather
tɔmelã,fish
tɔmelãdzrálá,fish seller
tɔsísí,river
tɔtrɔ,turning
tɔtrɔ,change
tɔtrɔƒe,point of return
tɔwòwó,yours
tɔwòwó,your relatives
tɔxɛ,special
trɔ,to turn
trɔ,too change
trɔ,fetish
trɔ ɖé,to turn to
trɔ gbɔ,to turn
trɔ gbɔ,to come back
trɔ mo ɖé,to face
trɔ mo ɖé,to look towards
trɔ ŋkúme ɖé,to face towards
trɔ vá,to come back
trɔ yi,to turn and go back
trɔ si,fetish priest
trɔ tɔ,fetish owner
trɔ xɔ,fetish hut
tré,calabash
tri,thick
tsa,to wander about
tsa,to go sightseeing
tsã,former days
tsã,in the past
tsa ŋkú,to look around
tsaɖiʋú,touring car
tsɛ,younger brother
tsi,water
tsi,to grow
tsí mègbé,to be late
tsí mègbé,to remain behind
tsí tre,to stand up
tsiƒúƒé,swimming pool
tsiƒúƒú,swimming
tsiƒúlá,swimmer
tsikɔ wu ame,to be thirsty
tsikɔ,thirsty
tsileƒé,bathroom
tsitsitɔ,the elder one
tsiwù,rain coat
tso,to fell
tso,to slaughter
tsó,to rise
tsó,to stand up
tsó,to come from
tso ame nú,to report someone
tsó ɖé ame ŋú,to rise against someone
tsó ɖé ame ŋú,to revolt against someone
tso du,to found a town or village
tsó ɣe má ɣi,from that time
tsó ɣe má ɣi,since then
tsɔ,to take
tsɔ,to carry
tsɔ dé así ... ná ame,to pledge
tsɔ dé así ... ná ame,to entrust
tsɔ ... ná,to give to
tsɔ ɖe le éme ná ame,to care about someone
tsɔ nú ke ame,to forgive someone
tsɔ nú ke ame,to excuse someone
tsɔ nú vɛ,to bring something
tsɔ yii,to take to
tsɔ yii,to go with something
tsɔlá,carrier
tsrɔ,to eliminate
tsrɔ,to destroy
tsyɔ akɔ anyi,to lie on the stomach
tsyɔè,to be pointed
tú,gun
tu,to close
tú agba,to untie a load
tu xɔ,to build a house
tume,back of the body
tútúútú,surely
tútúútú,exactly
tútúútú,definitely
va,to come
va ɖó,to come to
va ɖó,to reach
váséɖé,up to
váséɖé,until
váséɖé,till
váséɖé,arrival
vevé,pain
vévé,bitter
vevésèsè,feeling of pain
vévíé,important
vévíényényé,importance
vi,child
vidzi,baby
víé,little
víé,small
víé,few
vinye,my child
viŋútsuví,son
viŋútsuví,son
víví,sweet
víví,interesting
viwo,your child
vovɔvo,differents kind
vovɔvo,differents types of
vɔ,to be finished
vɔ,to be afraid
vɔ,sin
vɔ,wrong
vɔvɔ,fear
vu,fight
vuwɔdzo,fighting juju
ʋɔnu,trial
ʋɔnu,case
ʋɔnudrɔƒé,court
ʋɔnudrɔlá,judge
ʋɔtrú,door
ʋẽʋẽ,smell scent
ʋeʋesese,smelling
ʋli,to striggle
ʋu,blood
ʋu,to open
ʋu,drum
ʋu,vehicle
ʋuƒolá,drummer
wó,to burst
wó,to explode
wó,to bark
wó avi,to burst into tears
wó dòmètɔ ɖeká,one of them
wo ɖokuiwo,they're well
wo kata,all
wo kata,all of them
wo kple eve,both
wo kple eve,both of them
wodɔ,they're well
woe zɔ,you are welcome
wɔ,to do
wɔ,to make
wɔ,flour
wɔ atike na ame,to treat someone
wɔ aʋa,to fight a war
wɔ dɔ,to work
wɔ fu ame,to maltreat someone
wɔ kuvia,to be lazy
wɔ nɔví,to live in harmony
wɔ nú ɖe ŋú,to offend someone
wɔ nú veví ame,to hurt someone
wɔ vu,to fight with blows
wu,to kill
wú,to surpass
wú nù,to end doing something
wuiade,sixteen
wuiadre,seventeen
wuiasieke,nineteen
wuiatɔ,fifteen
wuiɖeké,eleven
wuiene,fourteen
wuienyi,eighteen
wuietɔ,thirteen
wúíeve,twelve
wuwu,killing
xa,by the side
xa,near to
xaxa,to be narrow
xaxɛ,narrow
xe adzɔ,to pay a fee
xe fe,to pay a debt
xe fe,to pay for services
xeví,bird
xéxé,outside
xéxé,outdoors
xéxéme,the world
xèxí,umbrella
xlɔ nú ame,to advise someone
xlẽ agbalẽ,to read a book
xlẽ agbalẽ,to read a letter
xlẽ nú,to count
xóxó,old
xóxó,former
xóxó,already
xoxɔxo,long ago
xoxɔxo,very long time
xɔ,house
xɔ,building
xɔ nú dzí se,to believe something
xɔ nú dzí se,to recieve
xɔ agbalẽ ɖe fe dzi,to taake a receipt
xoó asi,expensive
xoó asi,dear
xɔ da ɖi,to keep
xɔ da ɖi,to fall sick
xɔ da ɖi,to be infested
xɔ dzo,to be hot
xɔ dzo,hot
xɔ fedzígbalẽ,to take a receipt
xɔ ƒe,age
xɔ ná ame,to save someone
xɔ ná ame,to be famous
xɔ ná ame,to be popular
xɔ ŋuse,to empower
xɔla,saviour
xɔla,receiver
xɔlɔ,friend
xɔŋkɔ,famous
xɔŋkɔ,popular
xɔse,belief
xɔtùƒé,building site
xɔtùlá,builder
xɔtùlá,court yard
nududu,Food
nudada,Cooking
Nuɖaɖa,Cooking
Nuɖuɖu,Food
ndi nududu,breakfast
ŋdi nuɖuɖu,breakfast
ndor nududu,Lunch
ŋdɔ nuɖuɖu,Lunch
fie nududu,Dinner
fiɛnyi nuɖuɖu,Dinner
etsi,Water
Nyinotsi,Milk
ti,Tea
akodu,Banana
abolo,bread
atortor,pineapple
Mango,Mango
ené,coconut
adiba,papaya
Timati,Tomato
ebli,Maize
Bli,Corn
La,Meat
morlu,Rice
Mɔlu,Rice
ndonui,fish
Akpa,fish
tomela,sea food
kloklo,chicken
Koklo,chicken
kloklodzi,egg
Koklozi,egg
ayi,beans
tadi,pepper
Atadi,stew
detsi,soup
sabala,onion
ahazdraƒe,bars
